county,land area (sq meters),land area (sq miles),population,population for children (under 18),population for 18-39 yr olds ,population percent for seniors ,population for seniors (65+),number of facilities,number of facilities per sq mile,number of facilities per capita,number of facilities for children,number of facilities for children per capita (of children),number of facilities for young adults,number of facilities for adults,number of facilities for adults per capita (for all adult groups),number of facilities for seniors,number of facilities for seniors per capita (for seniors),beneficiary count from 2019-2022 (regardless of age and type of service),beneficiary count from 2019-2022 per capita,beneficiary count for 21-32 yr olds (any type of service),beneficiary count for 33-44 yr olds (any type of service),beneficiary count for 45-56 yr olds (any type of service),beneficiary count for 57-68 yr olds (any type of service),beneficiary count for  69+ yr olds (any type of service),total dollars from 2019-2022 (of what?) (on all services),total dollars from 2019-2022 (of what?) for 21-32 yr olds (on all services),total dollars from 2019-2022 (of what?) for 33-44 yr olds (on all services),total dollars from 2019-2022 (of what?) for 45-56 yr olds (on all services),total dollars from 2019-2022 (of what?) for 57-68 yr olds (on all services),total dollars from 2019-2022 (of what?) for 69+ yr olds (on all services)
Alameda,"2,468,695,000",953,"1,663,823","340,356",546163,13.8,229607.574,60,0.06294823783,0.00003606,23,0.00006758,53,52,0.000095990,23,0.00010017,427707,0.2570628006,125289,101929,87132,79818,33539,441070013,141838447,109109214,94251837,78623630,17246885
Alpine,"2,500,063,000",965,"1,515",163,287,25.4,384.81,2,0.002071947787,0.00132013,1,0.00613497,1,2,0.003101769,2,0.00519737,27,0.01782178218,0,27,0,0,0,48417,0,48417,0,0,0
Amador,"7,080,875,000","2,734","40,577","5,610",9541,27,10955.79,4,0.001463096016,0.00009858,1,0.00017825,3,4,0.000291530,3,0.00027383,12381,0.3051235922,3415,3450,2600,2580,336,7290020,1625004,2497973,1380117,1607392,179534
Butte,"2,641,830,000","1,020","213,605","45,972",73036,18.6,39730.53,21,0.0205880015,0.00009831,6,0.00013051,14,17,0.000242372,10,0.00025170,130752,0.6121205028,38488,35096,27997,23434,5737,97148782,23979057,25746554,22477658,20904609,4040904
Calaveras,"4,767,585,000","1,841","45,674","7,024",9115,27.5,12560.35,6,0.003259511891,0.00013137,1,0.00014237,5,6,0.000421623,2,0.00015923,16493,0.3611025967,4403,4815,3564,3087,624,12085156,3767220,3666992,2288041,2018948,343955
Colusa,"10,515,990,000","4,060","21,811","5,881",6076,14.6,3184.406,2,0.0004925831995,0.00009170,1,0.00017004,1,2,0.000235375,2,0.00062806,7725,0.3541790839,2362,2157,1485,1420,301,12026466,3440733,3576733,2258944,2368668,381388
Contra Costa,"4,080,104,000","1,575","1,162,648","240,054",318191,15.8,183698.384,57,0.03618290122,0.00004903,30,0.00012497,45,43,0.000119097,23,0.00012521,266221,0.2289781602,85549,69867,52523,43534,14748,223662598,79402268,59367545,37705110,36597839,10589836
Del Norte,"3,602,602,000","1,391","27,462","5,446",7786,18,4943.16,3,0.002156774465,0.00010924,0,0.00000000,2,2,0.000234290,1,0.00020230,20216,0.7361444906,5341,6123,4100,3922,730,7686743,1889745,3325298,1435474,932316,103910
El Dorado,"10,905,040,000","4,210","191,713","35,233",44219,21.2,40643.156,16,0.003800077762,0.00008346,5,0.00014191,12,13,0.000215821,6,0.00014763,49826,0.2598989114,14661,14501,10201,8889,1574,22922766,7657828,7846639,4256275,2870695,291329
Fresno,"3,644,330,000","1,407","1,008,280","279,298",318732,12.3,124018.44,37,0.02629564282,0.00003670,9,0.00003222,32,36,0.000112403,9,0.00007257,428958,0.4254353949,150905,115745,87388,60267,14653,260992264,91671725,78797082,55870089,31283268,3370100
Glenn,"120,951,700",47,"28,657","7,271",8221,15.9,4556.463,6,0.1284810383,0.00020937,1,0.00013753,2,6,0.000475355,6,0.00131681,13269,0.4630282304,3971,3318,2853,2380,747,10035838,3215478,2297439,2414655,1778406,329860
Humboldt,"1,347,159,000",520,"136,132","27,446",44166,17.9,24367.628,19,0.03652872452,0.00013957,5,0.00018218,16,18,0.000403234,11,0.00045142,102012,0.7493609144,33294,30735,18681,15138,4164,67867290,18108777,19807798,14678382,12869100,2403233
Imperial,"3,752,477,000","1,449","179,578","53,418",56302,13,23345.14,8,0.005521686076,0.00004455,3,0.00005616,7,7,0.000136167,1,0.00004284,87394,0.486663177,23531,20137,17377,16976,9373,70525126,24855854,18944068,14432550,9862071,2430583
Inyo,"11,762,090,000","4,541","18,829","3,693",4208,23.4,4405.986,3,0.0006605968837,0.00015933,0,0.00000000,1,3,0.000372786,2,0.00045393,6061,0.3218970737,1780,1419,1253,1202,407,4534337,826945,1150800,945697,1198961,411934
Kern,"1,947,606,000",752,"906,883","251,721",291698,11,99757.13,34,0.04521448383,0.00003749,11,0.00004370,26,32,0.000104428,16,0.00016039,417735,0.4606272253,138056,108670,89837,67133,14039,250197115,92365673,68236592,50357127,33220359,6017364
Kings,"9,778,891,000","3,776","152,515","47,096",52683,10.3,15709.045,10,0.002648562092,0.00006557,6,0.00012740,5,5,0.000111470,3,0.00019097,61019,0.4000852375,19979,16930,12429,9032,2649,37355124,11665604,11321635,8622441,5037750,707694
Lake,"8,499,610,000","3,282","68,024","13,573",16014,22.7,15441.448,6,0.001828319182,0.00008820,1,0.00007368,4,6,0.000256347,4,0.00025904,49499,0.727669646,11827,11349,10787,11630,3906,12827042,4453634,3506682,2611750,1924238,330738
